file,href
EMF Shielding of One Set of Circular Coils with Slight Distortion,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059461222&origin=inward
Evaluation of Thai students and teacher's attitudes in physics using Colorado Learning Attitudes about Science Survey (CLASS),https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059452131&origin=inward
Cosmic-Ray Muons Detection by a Spark Chamber,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059450763&origin=inward
3D Information Retrieving of Concealing Surface beneath Opaque Resin Layer by Fast-Fourier Low Coherence Interferometer,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059450621&origin=inward
Mass-radius bounds in massive gravity models,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059443311&origin=inward
Identification of Pinocembrin as an Anti-Glycation Agent and α-Glucosidase Inhibitor from Fingerroot (Boesenbergia rotunda): The tentative structure–activity relationship towards Mg-trapping activity,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058918074&origin=inward
Graceful exit for the cosmological constant damping scenario,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059409668&origin=inward
Structural and transport phenomena of urocanate-based proton carrier in sulfonated poly(ether ether ketone) membrane composite,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055723883&origin=inward
Simulation of control characteristics of liquid column vibration absorber using a quasi-elliptic flow path estimation method,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85054676706&origin=inward
"Corrigendum to “Effects of salt on the LLE and tie-line data for furfuryl alcohol - n-butanol-water at T = 298.15 K” [J. Mol. Liq. 218 (2016) 50–58] (Effects of salt on the LLE and tie-line data for furfuryl alcohol — n-butanol–water at T=298.15K (2016) 218 (50–58), (S0167732215309028) (10.1016/j.molliq.2016.02.027))",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85053840080&origin=inward
Bacillus sp. strain M10 as a potential biocontrol agent protecting chili pepper and tomato fruits from anthracnose disease caused by Colletotrichum capsici,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85051292687&origin=inward
Finding impact factors for rejection of pull requests on GitHub,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063505074&origin=inward
Performance analysis of machine learning techniques in intrusion detection,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063429603&origin=inward
Observation of Medium-Induced Modifications of Jet Fragmentation in Pb-Pb Collisions at sNN =5.02 TeV Using Isolated Photon-Tagged Jets,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059112614&origin=inward
The ideal commensurate value of Sc and the superconducting phase under high pressure,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058475370&origin=inward
A mini review on antidiabetic properties of fermented foods,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058983048&origin=inward
Search for Leptoquarks Coupled to Third-Generation Quarks in Proton-Proton Collisions at s =13 TeV,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059290811&origin=inward
WS2 and C-TiO2 Nanorods Acting as Effective Charge Separators on g-C3N4 to Boost Visible-Light Activated Hydrogen Production from Seawater,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055499333&origin=inward
Physics-based motion capture imitation with deep reinforcement learning,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061839078&origin=inward
Design of output feedback nonlinear model predictive control for inverted pendulum on cART,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060496074&origin=inward
Explicit Formula for Conditional Expectations of Product of Polynomial and Exponential Function of Affine Transform of Extended Cox-Ingersoll-Ross Process,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058647216&origin=inward
Two Properties of Pseudo-Polynomials over a Galois Field,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058622656&origin=inward
Basic fibroblast growth factor regulates phosphate/pyrophosphate regulatory genes in stem cells isolated from human exfoliated deciduous teeth,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058320961&origin=inward
Deep learning using risk-reward function for stock market prediction,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062801280&origin=inward
Chest X-ray analysis of tuberculosis by convolutional neural networks with affine transforms,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062797130&origin=inward
Creative industries policy in Thailand: A story of rise and demise,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85062255690&origin=inward
Effect of modified Khon dance performance on functional fitness in older Thai persons,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066101363&origin=inward
Social return on investment for community-based alcohol consumption control program during Buddhist Lent,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066099543&origin=inward
"Medication adherence and associated factors among elderly hypertension patients with uncontrolled blood pressure in rural area, Northeast Thailand",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066083201&origin=inward
The effects of toothpaste amounts and post-brushing rinsing methods on salivary fluoride retention,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066078842&origin=inward
Complete genomic sequences of highly pathogenic H5N1 avian influenza viruses obtained directly from human autopsy specimens,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059896348&origin=inward
Downstream components of the calmodulin signaling pathway in the rice salt stress response revealed by transcriptome profiling and target identification,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058555067&origin=inward
"Deep multispectral painting reproduction via multi-layer, custom-ink printing",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85066105607&origin=inward
Carbonized briquettes as a tool for adding value to waste from rain tree (Samanea saman) and coffee ground/tea waste,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060316344&origin=inward
Periodic-review policy for a 2-Echelon inventory problem with seasonal demand,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060315563&origin=inward
Reference stress approach for fracture assessment of extrados circumferential through-wall crack between elbow and pipe under internal pressure,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060304153&origin=inward
Atmospheric water estimation using GNSS precise point positioning method,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060301990&origin=inward
Development of arbuscular mycorrhizal fungi-organic fertilizer pellets encapsulated with alginate film,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060284558&origin=inward
Cross-sectoral analysis of water usage in Thailand using input–output model,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060284222&origin=inward
Speculation of nano-gap sensor for DNA sequencing technology: A review on synthetic nanopores,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060277158&origin=inward
Peat Endogenous Lignocellulolytic Bacteria for Humic Waste Decomposition,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058329914&origin=inward
Relationships between causal factors affecting future carbon dioxide output from Thailand's transportation sector under the government's sustainability policy: Expanding the SEM-VECM model,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060520670&origin=inward
Mechanochemical-assisted heterogeneous surface modification of parawood microcrystalline cellulose and its effect on the properties of polypropylene composites,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058332469&origin=inward
Sequential Fractionation of Palm Empty Fruit Bunch and Microwave-Assisted Depolymerization of Lignin for Producing Monophenolic Compounds,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057626112&origin=inward
Enhancement of Hydrogen Evolution Reaction Performance of Graphitic Carbon Nitride with Incorporated Nickel Boride,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057578970&origin=inward
Hemostatic efficacy of sheep-derived fibrin glue for liver biopsy in swine,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85152969667&origin=inward
"Plasmid profile of Enterococcus faecium and Enterococcus faecalis isolated from pigs, pork and humans in Thai-Laos border provinces",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85152957456&origin=inward
Ophthalmology Snapshot,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85152950212&origin=inward
ECG Quiz,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85152926723&origin=inward
Computed tomographic contrast enhancement and tumor angiogenesis in canine oral tumors,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85152923178&origin=inward
Efficacy of different vaccination programs of recombinant HVT-NDV vaccine against genotype VII NDV Challenge in broiler chickens,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85147427223&origin=inward
Emergence of a classical variant of porcine epidemic diarrhea virus novel to Thailand responsible for the milder clinical disease in a herd previously infected with a pandemic variant,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134033351&origin=inward
Comparative ultrasonographic and computed tomographic images of the adrenal glands of healthy cats,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85130690048&origin=inward
"A preliminary study on diversity of midgut microbiota in Aedes aegypti (Linnaeus) and Culex quinquefasciatus (Say) collected from Bangkok, Thailand",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120882431&origin=inward
Concomitant mycotic abdominal aortic aneurysm and lumbar tuberculous spondylitis with cauda equina syndrome: a rare condition — a case report and literature review,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85100201551&origin=inward
Predicting the present revisited: The case of Thailand,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85091699096&origin=inward
Survival time and prognosis factors in hypertrophic cardiomyopathy cats with congestive heart failure,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85090293808&origin=inward
"The potential use of phytoestrogen containing the herb, Pueraria mirifica, for bone healing in osteoporotic monkeys",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85082684208&origin=inward
Dynamic symmetry breaking in sat using augmented clauses with a polynomial-time lexicographic pruning,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076352482&origin=inward
Approximation of positive integer in double-base number system with a single term,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076340852&origin=inward
"Machine learning methods for abnormality detection in hard disk drive assembly process: Bi-LSTM, Wavelet-CNN and SVM",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85076335862&origin=inward
ALMA twenty-six arcmin2 survey of GOODS-S at one millimeter (ASAGAO): Source catalog and number counts,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071461260&origin=inward
Message from General Chairs,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070861352&origin=inward
Railway network modeling using building block of timed coloured petri nets,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070812664&origin=inward
Refactoring orchestrated web services into microservices using decomposition pattern,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070806504&origin=inward
Skin Barrier Function and Atopic Dermatitis,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069328095&origin=inward
Corundum with spinel corona from the Tan Huongtruc Lau area in Northern Vietnam,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067075989&origin=inward
Effect of food additives on the quality of white shrimp (Litopenaeus vannamei),https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85064709833&origin=inward
High infection rate of Zika virus in mosquitoes collected from an area of active Zika virus transmission in eastern Thailand,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063690066&origin=inward
Antimicrobial and weed inhibitory activities of Senna spectabilis extracts against plant pathogens,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85063522895&origin=inward
D-minimal expansions of the real field have the zero set property,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061602467&origin=inward
Current progress in production of flavonoids using systems and synthetic biology platforms,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060882963&origin=inward
Mucuna pruriens seed extract promotes neurite outgrowth via ten-4 dependent and independent mechanisms in Neuro2a cells,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060856625&origin=inward
A study into perioperative anaesthetic adverse events in Thailand (PAAd THAI): An analysis of suspected emergence delirium,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060664134&origin=inward
Effect of emg biofeedback to improve hand function in children with cerebral palsy: A randomized controlled trial,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060222612&origin=inward
Lipschitz retractions onto sphere vs spherical cup in a hilbert space,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060162536&origin=inward
Mechanisms of carbapenem resistance in Acinetobacter pittii and Acinetobacter nosocomialis isolates from Thailand,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059675381&origin=inward
Domain rearrangement and denaturation in Ebola virus protein VP40,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059639710&origin=inward
Amyloidosis associated with long-standing enterobacter endocarditis in a dog,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059609200&origin=inward
A New tocopherol derivative and cytotoxicity from the leaves of dalbergia velutina,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059566810&origin=inward
Effecting factors of the mechanical properties of Thai Dendrocalamus gigantues bamboo,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059556193&origin=inward
"Role of acute kidney injury biomarkers to guide renal replacement therapy initiation, what we learn from EARLY-RRT trial and FST trial?",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059533501&origin=inward
Determining the amphipol distribution within membrane-protein fibre samples using small-angle neutron scattering,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059500714&origin=inward
Angular analysis of the decay B+ →k+μ+μ- in proton-proton collisions at s =8 TeV,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059477183&origin=inward
Search for pair-produced resonances decaying to quark pairs in proton-proton collisions at s =13 TeV,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059460372&origin=inward
Long-term effectiveness of omalizumab treatment in Thai severe asthmatic patients: A real-life experience,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059273699&origin=inward
Randomized comparison of caregivers' ability to use epinephrine autoinjectors and prefilled syringes for anaphylaxis,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059259196&origin=inward
Effects of aerobic exercise and vitamin C supplementation on rhinitis symptoms in allergic rhinitis patients,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059255766&origin=inward
First episode of preschool wheeze requiring hospitalization:a prospective study on the chance of recurrence and associated factors,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059248986&origin=inward
"Differential dendritic cell responses to cell wall mannan of Candida albicans, Candida parapsilosis, and Candida dubliniensis",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059230299&origin=inward
Common viral infections in kidney transplant recipients,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059213990&origin=inward
Event shape variables measured using multijet final states in proton-proton collisions at √s=13 TeV,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85059087917&origin=inward
A nonrelativistic limit for AdS perturbations,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058935797&origin=inward
Melittin induced G1 cell cycle arrest and apoptosis in Chago-K1 human bronchogenic carcinoma cells and inhibited the differentiation of THP-1 cells into tumour- associated macrophages,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058926637&origin=inward
Alteration of urinary neutrophil gelatinase–associated lipocalin as a predictor of tacrolimus-induced chronic renal allograft fibrosis in tacrolimus dose adjustments following kidney transplantation,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058917460&origin=inward
Rapid and sensitive detection of Chlamydia trachomatis sexually transmitted infections in resource-constrained settings in Thailand at the point-of-care,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058915984&origin=inward
The utilization of the surviving sepsis campaign care bundles in the treatment of pediatric patients with severe sepsis or septic shock in a resource-limited environment: A prospective multicenter trial,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058885422&origin=inward
"Real-life clinical pattern, management, and survival in Thai patients with early-stage or metastatic triple-negative breast cancer",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058819617&origin=inward
A robust intracellular metabolite extraction protocol for human neutrophil metabolic profiling,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058790064&origin=inward
Role of mucoprotective agents in endoscopic submucosal dissection-derived ulcers: A systematic review,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058742898&origin=inward
GOODS-ALMA: 1.1 mm galaxy survey: I. Source catalog and optically dark galaxies,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058716387&origin=inward
Complete genome analysis demonstrates multiple introductions of enterovirus 71 and coxsackievirus A16 recombinant strains into Thailand during the past decade,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058472015&origin=inward
Two-state co-expression network analysis to identify genes related to salt tolerance in Thai rice,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058457964&origin=inward
The [CII] emission as a molecular gas mass tracer in galaxies at low and high redshifts,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058453548&origin=inward
Rice overexpressing OsNUC1-s reveals differential gene expression leading to yield loss reduction after salt stress at the booting stage,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058382112&origin=inward
How might normative and mimetic pressures improve local government service performance reporting?,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058362649&origin=inward
"The new 4th edition World Health Organization classification for thyroid tumors, Asian perspectives",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85058160421&origin=inward
The coexistence of Cushing syndrome and gynecomastia as the manifestations of adrenocortical carcinoma,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057868138&origin=inward
Genetic diversity and relationships among Lyle's flying fox colonies in Thailand,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057601344&origin=inward
Improving Thai word and sentence segmentation using linguistic knowledge,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057554441&origin=inward
Baseline atrial fibrillation is associated with contrast-induced nephropathy after cardiac catheterization in coronary artery disease: Systemic review and meta-analysis,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057539530&origin=inward
Extraction of Trend Keywords and stop words from Thai Facebook pages using character n-Grams,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057420667&origin=inward
Numerical data on the shear stress distribution generated by a rotating rod within a stationary ring over a 35-mm cell culture dish,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057321973&origin=inward
Adjunctive Use of Cidofovir and Intravenous Immunoglobulin to Treat Invasive Adenoviral Disease in Solid Organ Transplant Recipients,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057237051&origin=inward
"Two regulators, PA3898 and PA2100, modulate the pseudomonas aeruginosa multidrug resistance MexAB-OprM and EmrAB efflux pumps and biofilm formation",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057147112&origin=inward
Low-density lipoprotein cholesterol target attainment in patients with stable or acute coronary heart disease in the Asia-Pacific region: results from the Dyslipidemia International Study II,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85057083547&origin=inward
"Data analysis of the U–Pb geochronology and Lu–Hf system in zircon and whole-rock Sr, Sm–Nd and Pb isotopic systems for the granitoids of Thailand",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056844710&origin=inward
Cell wall mannan of Candida krusei mediates dendritic cell apoptosis and orchestrates Th17 polarization via TLR-2/MyD88-dependent pathway,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056802291&origin=inward
Relations between cardinalities of the finite sequences and the finite subsets of a set,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056695606&origin=inward
AFOMP policy number 6: code of ethics for medical physicists in AFOMP Countries,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056354694&origin=inward
New application of dynamic magnetic resonance imaging for the assessment of deglutitive tongue movement,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056353082&origin=inward
The Effect of a Brief HIV Prevention Program on Risk Reduction Behaviors Among Thai Men Diagnosed With Sexually Transmitted Infections,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056335704&origin=inward
Impact of AlCl3 and FeCl2 Addition on Catalytic Behaviors of TiCl4/MgCl2/THF Catalysts for Ethylene Polymerization and Ethylene/1-Hexene Copolymerization,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056276634&origin=inward
Vonoprazan versus proton-pump inhibitors for gastric endoscopic submucosal dissection-induced ulcers: A systematic review and meta-analysis,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056265944&origin=inward
Cardol triene inhibits dengue infectivity by targeting kl loops and preventing envelope fusion,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056261357&origin=inward
The metal kiln with heat distribution pipes for high quality charcoal and wood vinegar production,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056200000&origin=inward
"Major depression model induced by repeated and intermittent lipopolysaccharide administration: Long-lasting behavioral, neuroimmune and neuroprogressive alterations",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85056162378&origin=inward
"Metal accumulation in the marine bivalve, Marcia optima collected from the coastal area of Phuket Bay, Thailand",https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055877820&origin=inward
Incorporation of 13 C-HCO 3 − by ammonia-oxidizing archaea and bacteria during ammonia oxidation of sludge from a municipal wastewater treatment plant,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055710234&origin=inward
Effects of varying soil and atmospheric water deficit on water use characteristics of tropical street tree species,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85055624059&origin=inward
